Fecha,Remesas Familiares Total Millones USD,Remesas Familiares  Money Orders  Millones USD,Remesas Familiares Cheques Personales Millones USD ,Remesas Familiares Transferencias Electronicas Millones USD ,Remesas Familiares Efectivo y Especie Millones USD,Remesas Familiares Total Miles de Operaciones ,Remesas Familiares Money Orders Miles de Operaciones ,Remesas Familiares Cheques Personales Miles de Operaciones,Remesas Familiares Transferencias Electronicas Miles de Operaciones,Remesas Familiares Efectivo y Especie Miles de Operaciones
01/01/96,313.509077,117.252004,2.626131,149.234276,44.396666,960.939,333.176,5.256,556.645,65.863
01/02/96,281.925741,100.605259,1.100914,151.01687,29.202699,903.741,286.6,2.593,566.266,48.282
01/03/96,337.318483,116.176042,5.285765,183.899719,31.956957,1057.313,341.396,10.069,650.016,55.831
01/04/96,393.387694,152.621005,9.536809,205.574621,25.655259,1204.258,452.61,12.84,693.978,44.83
01/05/96,413.542028,145.498535,8.045037,222.548697,37.449759,1336.139,464.596,13.392,799.698,58.452
01/06/96,365.24505,130.782615,9.869622,197.767794,26.825018,1126.757,359.662,12.743,703.132,51.22
01/07/96,373.670502,138.264125,7.552494,197.910818,29.943065,1150.911,358.363,10.84,712.061,69.647
01/08/96,386.066642,151.936451,10.626534,193.105007,30.398651,1244.601,440.256,15.073,716.266,73.006
01/09/96,339.253267,115.231516,4.240931,189.2801,30.50072,1046.666,291.698,6.627,706.107,42.233
01/10/96,348.90103,128.271255,5.576473,192.429516,22.623786,1120.643,346.77,7.494,734.672,31.707
01/11/96,315.601561,99.946906,4.251908,167.560347,43.842401,952.588,254.922,6.079,635.683,55.904
01/12/96,355.26086,123.113192,6.080004,171.517234,54.55043,1103.501,296.813,7.173,687.997,111.518
01/01/97,338.647741,117.606962,4.389767,167.600613,49.050398,1105.493,383.508,5.95,615.76,100.275
01/02/97,331.591805,110.297123,2.071815,185.940777,33.28209,1044.467,314.473,2.178,672.06,55.757
01/03/97,381.907219,123.401943,5.865465,218.830537,33.809273,1214.671,361.4,7.273,789.112,56.886
01/04/97,425.538643,155.384238,5.58377,235.390572,29.180063,1325.21,456.478,7.528,817.305,43.899
01/05/97,486.68935,168.19745,10.912742,268.354797,39.22436,1492.847,443.462,16.71,971.627,61.048
01/06/97,453.559644,174.716511,10.374563,242.022398,26.446172,1444.537,518.072,12.414,858.765,55.287
01/07/97,441.686303,173.213946,6.655337,232.296836,29.520183,1393.293,472.231,9.244,836.641,75.177
01/08/97,428.902176,156.414316,6.598084,235.92044,29.969335,1353.757,419.062,3.713,852.18,78.803
01/09/97,431.467845,158.446497,6.541324,236.410062,30.069962,1353.578,437.852,3.681,866.459,45.586
01/10/97,421.668119,159.833769,6.485052,233.045024,22.304273,1329.152,419.679,3.649,871.599,34.224
01/11/97,343.430719,108.223852,6.429264,185.554381,43.223221,1087.168,309.897,3.618,713.311,60.343
01/12/97,379.754967,123.078053,6.373957,196.522935,53.780022,1224.414,329.053,3.587,771.402,120.372
01/01/98,382.531655,111.890366,4.76249,215.776401,50.102398,1274.618,340.843,6.787,856.914,70.073
01/02/98,366.398162,103.010273,3.575559,222.99824,36.81409,1244.226,311.423,5.197,876.118,51.488
01/03/98,427.194949,122.994617,3.669982,263.863077,36.667273,1466.773,365.541,5.235,1044.714,51.283
01/04/98,439.995009,161.15729,5.19112,240.235536,33.411063,1450.673,452.389,6.759,944.797,46.729
01/05/98,520.373921,170.05456,6.667837,297.572164,46.07936,1827.469,534.644,8.681,1219.697,64.447
01/06/98,503.487579,193.090074,5.253015,272.698068,32.446422,1737.814,609.122,6.839,1076.473,45.38
01/07/98,494.32558,179.752185,5.521069,279.532143,29.520183,1681.947,527.419,7.188,1106.052,41.287
01/08/98,486.607041,169.784927,5.298612,281.554167,29.969335,1704.272,514,6.899,1141.459,41.915
01/09/98,476.290549,161.864529,5.389,278.967058,30.069962,1677.719,491.459,7.016,1137.187,42.056
01/10/98,454.673858,153.368649,5.177,273.823936,22.304273,1619.82,465.663,6.74,1116.222,31.195
01/11/98,460.692434,148.294239,5.409,263.765974,43.223221,1592.972,450.256,7.042,1075.221,60.452
01/12/98,614.271022,195.451,5.58,359.46,53.780022,2141.228,593.435,7.265,1465.311,75.217
01/01/99,399.64228,95.572423,2.945179,249.621761,51.502918,1356.784,247.859,4.237,1032.656,72.032
01/02/99,388.851113,88.33603,1.942848,263.626041,34.946194,1390.124,242.786,2.027,1096.436,48.876
01/03/99,464.897722,112.896274,2.864499,313.637212,35.499737,1638.306,282.796,3.679,1302.181,49.65
01/04/99,469.18283,110.693369,2.962964,324.88743,30.639067,1650.796,278.653,4.477,1324.814,42.852
01/05/99,571.562015,140.890393,3.415015,386.071029,41.185578,2082.81,378.663,4.698,1641.847,57.602
01/06/99,521.922516,141.454535,5.899727,346.799774,27.768481,1829.727,363.195,5.695,1421.999,38.837
01/07/99,506.664155,132.197205,6.067646,337.879976,30.519328,1781.513,337.43,6.2,1394.532,43.351
01/08/99,532.099702,145.055124,5.702528,350.358368,30.983682,1852.997,350.645,6.2,1452.141,44.011
01/09/99,490.482884,131.404637,5.460192,322.53034,31.087715,1748.812,331.671,6.2,1366.782,44.159
01/10/99,474.506915,114.455223,4.625726,332.366779,23.059187,1779.574,292.573,5.23,1449.016,32.755
01/11/99,502.007269,112.526927,4.485685,340.308497,44.686161,1821.208,276.145,4.926,1476.663,63.475
01/12/99,587.73526,122.868773,4.835439,366.947321,93.083726,2004.655,297.216,5.297,1619.404,82.738
01/01/00,456.245551,108.325826,0.606872,294.779877,52.532976,1236.025,273.196,1.436,890.114,71.279
01/02/00,447.187007,104.2078,0.46484,306.519788,35.99458,1235.996,259.316,0.626,929.966,46.088
01/03/00,494.450171,117.077423,1.038787,339.769232,36.564729,1384.829,310.785,1.339,1020.767,51.939
01/04/00,498.830808,116.794682,0.774537,349.39696,31.864629,1391.477,308.072,1.424,1037.414,44.566
01/05/00,590.749627,152.15218,0.774537,395.401765,42.421145,1679.443,407.526,1.424,1212.061,58.431
01/06/00,541.577453,136.340511,0.774537,375.583185,28.87922,1482.547,348.403,1.424,1095.215,37.505
01/07/00,557.598042,110.217817,0.707992,414.813901,31.858332,1542.513,277.07,1.316,1230.746,33.382
01/08/00,608.061236,138.282277,0.707992,436.906954,32.164012,1655.58,329.894,1.316,1278.683,45.688
01/09/00,568.549318,124.63179,0.707992,410.937526,32.272009,1605.247,310.92,1.316,1247.17,45.841
01/10/00,559.523514,106.631436,0.677486,428.471865,23.742727,1665.179,263.036,1.232,1340.091,60.82
01/11/00,583.121774,104.70314,0.677486,431.352657,46.388491,1492.198,246.608,1.232,1178.465,65.893
01/12/00,666.84848,115.044986,0.677486,458.042282,93.083726,1628.001,267.679,1.232,1276.352,82.738
01/01/01,654.981952,71.500557,1.705693,554.275702,27.5,2061.018,159.557,2.044,1857.109,42.308
01/02/01,637.673747,55.078681,0.956966,557.4381,24.2,2073.544,138.441,0.897,1896.975,37.231
01/03/01,718.055039,72.762217,0.637679,620.455143,24.2,2247.515,177.925,0.424,2031.935,37.231
01/04/01,734.80582,90.61613,0.114637,633.246762,10.828291,2323.767,217.719,0.199,2081.483,24.366
01/05/01,798.243762,80.641613,1.20518,700.053402,16.343568,2569.346,184.129,0.872,2349.467,34.877
01/06/01,747.836995,67.357677,1.20518,668.274138,11,2347.169,153.852,0.872,2167.753,24.691
01/07/01,796.595116,77.811564,0.7,702.879352,15.2042,2423.874,185.708,0.853,2203.898,33.416
01/08/01,789.30748,60,0.7,708.82508,19.7824,2414.377,143.198,0.853,2226.849,43.478
01/09/01,772.080254,52.521417,0.7,707.858837,11,2324.147,125.349,0.853,2173.769,24.176
01/10/01,792.8295,60.800401,0.7,708.484891,22.844208,2440.301,145.108,0.75,2244.236,50.207
01/11/01,693.822369,49.016281,0.75035,619.296315,24.759423,2158.431,116.984,0.78,1986.25,54.416
01/12/01,759.031785,65.181525,0.802505,602.445103,90.602652,2360.785,155.564,0.84,2026.729,177.652
01/01/02,711.043,65.389,1.782,615.327,28.545,2225.202,151.323,2.115,2030.334,41.43
01/02/02,718.865,55.804,1,637.014,25.047,2262.829,133.636,0.929,2088.82,39.444
01/03/02,744.527,62.045,0.672,650.185,31.625,2301.491,144.616,0.445,2106.627,49.803
01/04/02,805.872,66.374,0.739,720.946,17.813,2496.517,165.413,0.775,2302.278,28.051
01/05/02,912.205,69.606,0.126,820.528,21.945,2765.656,191.661,0.141,2542.726,31.128
01/06/02,860.003,57.657,1.145,784.742,16.459,2514.831,155.603,0.916,2332.991,25.321
01/07/02,843.073806,56.333071,0.665,769.520735,16.555,2491.273,154.526,0.699,2310.579,25.469
01/08/02,849.137621,52.695563,0.70184,777.975218,17.765,2565.904,149.703,0.851,2389.416,25.934
01/09/02,860.599673,51.996145,0.661,794.357528,13.585,2505.334,141.907,0.718,2343.841,18.868
01/10/02,848.283,50.939,0.6,779.584,17.16,2615.013,121.573,0.652,2467.553,25.235
01/11/02,741.438,45.586,0.85,675.202,19.8,2305.502,108.797,0.977,2168.418,27.31
01/12/02,919.401,52.084,1.12,772.697,93.5,2904.299,161.25,1.244,2620.376,121.429
01/01/03,1051.254675,116.544057,1.2,914.511618,18.999,3443.376,334.457,1.3,3079.619,28
01/02/03,979.759677,102.462984,1.3,855.371694,20.625,3168.45,288.764,1.4,2847.73,30.556
01/03/03,1139.112385,130.942883,1.7,990.574502,15.895,3717.109,364.945,1.8,3330.098,20.266
01/04/03,1202.509728,136.051099,1.821676,1048.636953,16,3801.331,379.149,1.863,3399.319,21
01/05/03,1350.966936,170.89141,0.4,1159.675526,20,4470.832,483.425,0.5,3960.907,26
01/06/03,1351.170664,160.011028,0,1181.659636,9.5,4205.958,426.603,0,3767.355,12
01/07/03,1361.362021,160.584538,0,1180.405483,20.372,4156.795,422.406,0,3707.043,27.346
01/08/03,1401.246167,154.900058,0,1228.346109,18,4277.543,391.963,0,3861.88,23.7
01/09/03,1365.508502,147.296021,0,1201.212482,17,4259.673,368.91,0,3867.763,23
01/10/03,1391.011195,139.183144,0,1239.12805,12.7,4365.716,382.188,0,3966.011,17.517
01/11/03,1203.708358,114.489098,0,1078.21926,11,3828.254,301.245,0,3512.009,15
01/12/03,1341.076102,131.921339,0,1134.654763,74.5,4290.899,353.994,0,3833,103.905
01/01/04,1081.863522,128.465803,0,938.373351,15.024368,3559.883,335.18,0,3207.314,17.389
01/02/04,1171.773708,127.216785,0,1026.527682,18.029242,3763.968,322.201,0,3418.352,23.415
01/03/04,1480.223988,164.258356,0,1303.43715,12.528481,4606.875,393.342,0,4196.939,16.594
01/04/04,1513.515078,163.331555,0,1337.440903,12.742621,4583.33,399.248,0,4167.359,16.723
01/05/04,1770.397767,177.152673,0,1575.835098,17.409997,5588.379,468.005,0,5098.747,21.627
01/06/04,1684.724831,171.285474,0,1500.696736,12.742621,5181.209,456.302,0,4708.184,16.723
01/07/04,1654.376047,161.764766,0,1476.538491,16.072789,4982.541,386.512,0,4575.554,20.475
01/08/04,1786.807803,163.12479,0,1612.229242,11.453772,5451.303,394.705,0,5038.079,18.519
01/09/04,1586.840735,152.233686,0,1424.130572,10.476477,4806.946,355.863,0,4437.905,13.178
01/10/04,1529.947736,152.429114,0,1361.553222,15.9654,4744.869,362.774,0,4357.978,24.117
01/11/04,1506.16444,143.416052,0,1346.782988,15.9654,4666.32,329.706,0,4312.497,24.117
01/12/04,1565.112302,164.987207,0,1324.925095,75.2,5077.775,398.989,0,4569.005,109.781
01/01/05,1367.556299,142.818126,0,1209.713805,15.024368,4292.145,331.019,0,3943.737,17.389
01/02/05,1428.377043,125.915436,0,1280.463935,21.997672,4426.62,298.159,0,4100.186,28.275
01/03/05,1691.589579,152.366733,0,1526.06375,13.159095,5128.202,358.276,0,4752.657,17.269
01/04/05,1753.303151,141.439519,0,1589.689668,22.173964,5229.634,326.746,0,4874.855,28.033
01/05/05,2057.277269,158.355381,0,1883.469608,15.452281,6365.631,407.27,0,5939.378,18.983
01/06/05,1923.280162,155.838719,0,1755.441443,12,5702.299,361.742,0,5325.172,15.385
01/07/05,1840.300618,144.932356,0,1675.368262,20,5362.154,322.878,0,5013.96,25.316
01/08/05,2059.222908,160.152299,0,1878.606442,20.464167,5937.003,363.425,0,5548.695,24.883
01/09/05,1885.990476,138.263576,0,1732.853819,14.873081,5580.003,365.427,0,5195.938,18.638
01/10/05,1862.277598,135.233967,0,1710.865242,16.178389,5512.977,299.57,0,5192.377,21.03
01/11/05,1886.953783,130.09105,0,1736.023084,20.83965,5542.204,281.783,0,5232.598,27.823
01/12/05,1932.142032,162.460997,0,1688.681035,81,5842.828,350.612,0,5389.814,102.402
01/01/06,1758.30571,130.1507,0,1611.055695,17.099316,5293.97,283.773,0,4990.76,19.437
01/02/06,1823.189752,108.751197,0,1699.270714,15.167841,5364.648,233.657,0,5111.021,19.97
01/03/06,2152.836208,130.604163,0,2005.392068,16.839977,6155.674,294.967,0,5838.914,21.793
01/04/06,2072.701748,100.962228,0,1952.670414,19.069106,5935.558,219.184,0,5690.284,26.09
01/05/06,2534.599002,127.912661,0,2365.519851,41.16649,7286.61,286.683,0,6933.115,66.812
01/06/06,2340.262303,120.898256,0,2186.349714,33.014333,6629.665,267.052,0,6293.496,69.117
01/07/06,2191.64694,106.007662,0,2045.414615,40.224664,6312.867,229.157,0,6006.21,77.5
01/08/06,2334.283455,112.336997,0,2191.594032,30.352426,6624.716,231.222,0,6338.836,54.658
01/09/06,2140.958552,98.633657,0,2017.644489,24.680406,6186.951,205.443,0,5931.709,49.799
01/10/06,2316.524423,120.212415,0,2167.156045,29.155963,6757.439,219.129,0,6482.572,55.738
01/11/06,1962.802019,98.956636,0,1835.585263,28.26012,5726.063,185.389,0,5479.22,61.454
01/12/06,1938.724942,104.280201,0,1776.306759,58.137982,5910.447,188.962,0,5601.55,119.935
01/01/07,1872.929196,102.790343,0,1733.321658,36.817195,5573.122,187.776,0,5322.474,62.872
01/02/07,1856.778176,81.265884,0,1751.301308,24.210985,5450.352,143.061,0,5260.671,46.62
01/03/07,2186.5239,82.413648,0,2073.629556,30.480696,6244.976,146.885,0,6037.531,60.56
01/04/07,2166.563953,75.358557,0,2059.129613,32.075783,6232.251,129.497,0,6043.772,58.982
01/05/07,2411.769412,85.017908,0,2298.869133,27.882371,7160.981,175.544,0,6919.703,65.734
01/06/07,2300.575453,75.527868,0,2193.199828,31.847757,6597.32,134.906,0,6393.267,69.147
01/07/07,2369.489247,73.940691,0,2256.479958,39.068597,6695.049,133.489,0,6481.068,80.492
01/08/07,2412.125122,63.202708,0,2318.181389,30.741025,6690.326,120.453,0,6508.806,61.067
01/09/07,2186.133357,46.338738,0,2113.404411,26.390207,6214.262,86.085,0,6073.606,54.571
01/10/07,2367.642794,55.225601,0,2279.881078,32.536115,6943.98,107.623,0,6777.884,58.473
01/11/07,1958.521732,50.988799,0,1877.243673,30.289259,5745.12,90.051,0,5600.096,54.973
01/12/07,1969.765675,67.599662,0,1848.016706,54.149307,6103.73,130.499,0,5859.781,113.45
01/01/08,1781.699614,72.426067,0,1665.557808,43.715739,5286.971,155.201,0,5068.134,63.636
01/02/08,1859.71158,47.197564,0,1787.777697,24.736318,5454.377,100.992,0,5305.793,47.592
01/03/08,2116.346451,45.842731,0,2039.521119,30.982601,6116.257,99.194,0,5953.73,63.333
01/04/08,2184.685439,47.275708,0,2108.497641,28.91209,6166.315,98.467,0,6017.068,50.78
